original_input_id,text,expected_label,manual_review_status,manual_review_notes
orig_refund_request_001,"Quero meu dinheiro de volta pelo produto que recebi com defeito.",refund_request,pending,
orig_refund_request_002,"Gostaria de solicitar o reembolso da minha compra.",refund_request,pending,
orig_refund_request_003,"Comprei ontem e preciso receber o valor de volta.",refund_request,pending,
orig_refund_request_004,"Podem devolver o dinheiro que paguei nesse pedido?",refund_request,pending,
orig_refund_request_005,"O item veio errado e quero o reembolso.",refund_request,pending,
orig_refund_request_006,"Preciso abrir uma solicitacao para receber meu pagamento de volta.",refund_request,pending,
orig_refund_request_007,"Nao fiquei satisfeito com a compra e quero a devolucao do valor.",refund_request,pending,
orig_refund_request_008,"Como faco para pedir reembolso desse produto?",refund_request,pending,
orig_refund_request_009,"O pedido chegou quebrado e desejo meu dinheiro de volta.",refund_request,pending,
orig_refund_request_010,"Solicito a devolucao do valor pago na minha ultima compra.",refund_request,pending,
orig_cancel_order_001,"Quero cancelar meu pedido.",cancel_order,pending,
orig_cancel_order_002,"Gostaria de cancelar a compra que acabei de fazer.",cancel_order,pending,
orig_cancel_order_003,"Ainda da tempo de cancelar meu pedido?",cancel_order,pending,
orig_cancel_order_004,"Por favor cancelem a minha compra antes do envio.",cancel_order,pending,
orig_cancel_order_005,"Preciso desistir do pedido feito hoje.",cancel_order,pending,
orig_cancel_order_006,"Nao quero mais esse produto e desejo cancelar o pedido.",cancel_order,pending,
orig_cancel_order_007,"Como faco para interromper a compra antes de ser entregue?",cancel_order,pending,
orig_cancel_order_008,"Cancele o pedido numero 4587 por favor.",cancel_order,pending,
orig_cancel_order_009,"Fiz uma compra por engano e quero cancelar.",cancel_order,pending,
orig_cancel_order_010,"Solicito o cancelamento da minha ultima compra.",cancel_order,pending,
orig_delivery_problem_001,"Minha entrega ainda nao chegou.",delivery_problem,pending,
orig_delivery_problem_002,"O rastreio do meu pedido nao atualiza ha varios dias.",delivery_problem,pending,
orig_delivery_problem_003,"Meu pacote aparece como entregue mas eu nao recebi nada.",delivery_problem,pending,
orig_delivery_problem_004,"A entrega esta atrasada e preciso saber o que aconteceu.",delivery_problem,pending,
orig_delivery_problem_005,"O entregador nao encontrou meu endereco e o pedido voltou.",delivery_problem,pending,
orig_delivery_problem_006,"Recebi apenas parte dos itens que deveriam chegar.",delivery_problem,pending,
orig_delivery_problem_007,"Quero informacoes sobre o atraso na entrega do meu pedido.",delivery_problem,pending,
orig_delivery_problem_008,"Meu produto ficou parado na transportadora.",delivery_problem,pending,
orig_delivery_problem_009,"A previsao de entrega passou e nao tive nenhuma atualizacao.",delivery_problem,pending,
orig_delivery_problem_010,"O status diz que saiu para entrega mas nao chegou ate agora.",delivery_problem,pending,
orig_payment_issue_001,"Meu pagamento foi recusado.",payment_issue,pending,
orig_payment_issue_002,"Tentei pagar com cartao e apareceu uma cobranca duplicada.",payment_issue,pending,
orig_payment_issue_003,"O boleto venceu antes de eu conseguir concluir a compra.",payment_issue,pending,
orig_payment_issue_004,"Fiz o pagamento por PIX mas o pedido ainda nao foi confirmado.",payment_issue,pending,
orig_payment_issue_005,"Nao consigo finalizar a compra porque o sistema rejeita meu cartao.",payment_issue,pending,
orig_payment_issue_006,"A cobranca veio com valor diferente do carrinho.",payment_issue,pending,
orig_payment_issue_007,"Preciso de ajuda porque o pagamento ficou pendente.",payment_issue,pending,
orig_payment_issue_008,"Meu cartao foi cobrado mas o pedido nao aparece na conta.",payment_issue,pending,
orig_payment_issue_009,"O site nao aceita o codigo de pagamento do boleto.",payment_issue,pending,
orig_payment_issue_010,"Houve erro na hora de processar meu pagamento.",payment_issue,pending,
orig_product_information_001,"Esse produto tem garantia?",product_information,pending,
orig_product_information_002,"Gostaria de saber se esse celular esta disponivel na cor preta.",product_information,pending,
orig_product_information_003,"Qual e o tamanho exato dessa mesa?",product_information,pending,
orig_product_information_004,"Esse notebook vem com carregador incluso?",product_information,pending,
orig_product_information_005,"Preciso saber se a roupa tem tabela de medidas.",product_information,pending,
orig_product_information_006,"O produto e original ou similar?",product_information,pending,
orig_product_information_007,"Vocês tem previsao de reposicao desse item?",product_information,pending,
orig_product_information_008,"Quais sao as especificacoes tecnicas desse monitor?",product_information,pending,
orig_product_information_009,"Esse fone funciona com celular Android?",product_information,pending,
orig_product_information_010,"A cadeira suporta ate quantos quilos?",product_information,pending,
orig_account_support_001,"Nao consigo acessar minha conta.",account_support,pending,
orig_account_support_002,"Esqueci minha senha e preciso recuperar o acesso.",account_support,pending,
orig_account_support_003,"Meu login nao entra mesmo com a senha correta.",account_support,pending,
orig_account_support_004,"Quero alterar o e-mail cadastrado na minha conta.",account_support,pending,
orig_account_support_005,"Meu cadastro esta com CPF errado e preciso corrigir.",account_support,pending,
orig_account_support_006,"Nao recebo o codigo para redefinir a senha.",account_support,pending,
orig_account_support_007,"Minha conta foi bloqueada e nao sei o motivo.",account_support,pending,
orig_account_support_008,"Preciso atualizar meus dados de cadastro.",account_support,pending,
orig_account_support_009,"O aplicativo encerra a sessao sempre que tento entrar.",account_support,pending,
orig_account_support_010,"Nao consigo criar uma nova conta no site.",account_support,pending,
orig_other_001,"Obrigado pelo atendimento.",other,pending,
orig_other_002,"Quero receber novidades e promocoes da loja.",other,pending,
orig_other_003,"Parabens pela rapidez no suporte.",other,pending,
orig_other_004,"Onde encontro a politica de privacidade do site?",other,pending,
orig_other_005,"Gostaria de deixar uma sugestao para melhorar o aplicativo.",account_support,pending,
orig_other_006,"Vocês atendem lojas parceiras?",other,pending,
orig_other_007,"Como posso falar com a area comercial?",other,pending,
orig_other_008,"Estou apenas testando o chat.",other,pending,
orig_other_009,"Qual e o horario de atendimento da empresa?",other,pending,
orig_other_010,"Bom dia, queria saber se tem alguem disponivel.",other,pending,
