case_id,original_input_id,transformation_type,original_text,transformed_text,expected_label,prompt_strategy,prompt_text,model_name,parameters,raw_output,parsed_label,is_valid_output,is_violation_expected_label,is_prediction_flip,execution_time,estimated_cost,timestamp,manual_review_notes
orig_refund_request_001,orig_refund_request_001,original,Quero meu dinheiro de volta pelo produto que recebi com defeito.,Quero meu dinheiro de volta pelo produto que recebi com defeito.,refund_request,free,"Leia a mensagem do cliente e identifique qual e a intencao principal.
Mensagem:
""Quero meu dinheiro de volta pelo produto que recebi com defeito.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","# Análise da Intenção Principal

**Intenção: RECLAMAÇÃO / SOLICITAÇÃO DE REEMBOLSO**

## Detalhes:

- **Tipo de problema:** Produto com defeito
- **Solicitação específica:**",,False,True,,1.303557999955956,0.00037299999999999996,2026-06-08T01:04:22.973363+00:00,
orig_refund_request_001,orig_refund_request_001,original,Quero meu dinheiro de volta pelo produto que recebi com defeito.,Quero meu dinheiro de volta pelo produto que recebi com defeito.,refund_request,strict,"Classifique a intencao da mensagem abaixo.
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Mensagem:
""Quero meu dinheiro de volta pelo produto que recebi com defeito.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,,1.375952041009441,0.000192,2026-06-08T01:04:24.349397+00:00,
orig_refund_request_001,orig_refund_request_001,original,Quero meu dinheiro de volta pelo produto que recebi com defeito.,Quero meu dinheiro de volta pelo produto que recebi com defeito.,refund_request,few_shot,"Classifique a intencao da mensagem abaixo.
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Exemplos:
""Quero meu dinheiro de volta."" -> refund_request
""Gostaria de cancelar meu pedido."" -> cancel_order
""Minha entrega ainda nao chegou."" -> delivery_problem
""Meu pagamento foi recusado."" -> payment_issue
""Esse produto tem garantia?"" -> product_information
""Nao consigo acessar minha conta."" -> account_support
""Obrigado pelo atendimento."" -> other
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Mensagem:
""Quero meu dinheiro de volta pelo produto que recebi com defeito.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,,1.2062743340502493,0.00031,2026-06-08T01:04:25.555740+00:00,
orig_refund_request_002,orig_refund_request_002,original,Gostaria de solicitar o reembolso da minha compra.,Gostaria de solicitar o reembolso da minha compra.,refund_request,free,"Leia a mensagem do cliente e identifique qual e a intencao principal.
Mensagem:
""Gostaria de solicitar o reembolso da minha compra.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","# Análise da Intenção Principal

**Intenção Principal:** Solicitar reembolso/devolução de compra

## Detalhes:
- **Tipo de solicitação:** Financeira/Administrativa
- **Ação desejada",,False,True,,1.2573662920040078,0.000372,2026-06-08T01:04:26.813213+00:00,
orig_refund_request_002,orig_refund_request_002,original,Gostaria de solicitar o reembolso da minha compra.,Gostaria de solicitar o reembolso da minha compra.,refund_request,strict,"Classifique a intencao da mensagem abaixo.
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Mensagem:
""Gostaria de solicitar o reembolso da minha compra.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,,0.8413499580346979,0.000191,2026-06-08T01:04:27.654644+00:00,
orig_refund_request_002,orig_refund_request_002,original,Gostaria de solicitar o reembolso da minha compra.,Gostaria de solicitar o reembolso da minha compra.,refund_request,few_shot,"Classifique a intencao da mensagem abaixo.
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Exemplos:
""Quero meu dinheiro de volta."" -> refund_request
""Gostaria de cancelar meu pedido."" -> cancel_order
""Minha entrega ainda nao chegou."" -> delivery_problem
""Meu pagamento foi recusado."" -> payment_issue
""Esse produto tem garantia?"" -> product_information
""Nao consigo acessar minha conta."" -> account_support
""Obrigado pelo atendimento."" -> other
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Mensagem:
""Gostaria de solicitar o reembolso da minha compra.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,,1.1272382080205716,0.00030900000000000003,2026-06-08T01:04:28.781928+00:00,
orig_refund_request_003,orig_refund_request_003,original,Comprei ontem e preciso receber o valor de volta.,Comprei ontem e preciso receber o valor de volta.,refund_request,free,"Leia a mensagem do cliente e identifique qual e a intencao principal.
Mensagem:
""Comprei ontem e preciso receber o valor de volta.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","# Análise da Intenção Principal

**Intenção: REEMBOLSO / DEVOLUÇÃO**

O cliente deseja receber o valor de uma compra realizada no dia anterior. Isso indica:

- ❌ Insatisfação com a comp",,False,True,,1.5558136670151725,0.00036899999999999997,2026-06-08T01:04:30.337892+00:00,
orig_refund_request_003,orig_refund_request_003,original,Comprei ontem e preciso receber o valor de volta.,Comprei ontem e preciso receber o valor de volta.,refund_request,strict,"Classifique a intencao da mensagem abaixo.
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Mensagem:
""Comprei ontem e preciso receber o valor de volta.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,,0.8387822499498725,0.00018800000000000002,2026-06-08T01:04:31.176777+00:00,
orig_refund_request_003,orig_refund_request_003,original,Comprei ontem e preciso receber o valor de volta.,Comprei ontem e preciso receber o valor de volta.,refund_request,few_shot,"Classifique a intencao da mensagem abaixo.
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Exemplos:
""Quero meu dinheiro de volta."" -> refund_request
""Gostaria de cancelar meu pedido."" -> cancel_order
""Minha entrega ainda nao chegou."" -> delivery_problem
""Meu pagamento foi recusado."" -> payment_issue
""Esse produto tem garantia?"" -> product_information
""Nao consigo acessar minha conta."" -> account_support
""Obrigado pelo atendimento."" -> other
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Mensagem:
""Comprei ontem e preciso receber o valor de volta.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,,0.8660345410462469,0.000306,2026-06-08T01:04:32.042945+00:00,
orig_refund_request_004,orig_refund_request_004,original,Podem devolver o dinheiro que paguei nesse pedido?,Podem devolver o dinheiro que paguei nesse pedido?,refund_request,free,"Leia a mensagem do cliente e identifique qual e a intencao principal.
Mensagem:
""Podem devolver o dinheiro que paguei nesse pedido?""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","# Análise da Intenção Principal

**Intenção: REEMBOLSO / DEVOLUÇÃO DE PAGAMENTO**

O cliente está solicitando o reembolso do valor pago em um pedido específico. Esta é uma solicitação de **d",,False,True,,1.3160387090174481,0.00037099999999999996,2026-06-08T01:04:33.359158+00:00,
