case_id,original_input_id,transformation_type,expected_label,prompt_strategy,parsed_label,is_valid_output,is_violation_expected_label,is_prediction_flip,failure_category,original_text,transformed_text,raw_output,manual_review_notes
orig_other_004,orig_other_004,original,other,strict,account_support,True,True,,pending_manual_review,Onde encontro a politica de privacidade do site?,Onde encontro a politica de privacidade do site?,"```json
{""label"": ""account_support""}
```",
orig_other_006,orig_other_006,original,other,strict,product_information,True,True,,pending_manual_review,Vocês atendem lojas parceiras?,Vocês atendem lojas parceiras?,"```json
{""label"": ""product_information""}
```",
orig_other_002_paraphrase_03,orig_other_002,paraphrase,other,strict,account_support,True,True,True,pending_manual_review,Quero receber novidades e promocoes da loja.,Gostaria de registrar esta mensagem: quero receber novidades e promocoes da loja.,"```json
{""label"": ""account_support""}
```",
orig_other_004_paraphrase_01,orig_other_004,paraphrase,other,strict,account_support,True,True,False,pending_manual_review,Onde encontro a politica de privacidade do site?,Minha mensagem para a loja e a seguinte: onde encontro a politica de privacidade do site.,"```json
{""label"": ""account_support""}
```",
orig_other_004_punctuation_01,orig_other_004,punctuation,other,strict,account_support,True,True,False,pending_manual_review,Onde encontro a politica de privacidade do site?,onde encontro a politica de privacidade do site?,"```json
{""label"": ""account_support""}
```",
orig_other_006_punctuation_01,orig_other_006,punctuation,other,strict,product_information,True,True,False,pending_manual_review,Vocês atendem lojas parceiras?,vocês atendem lojas parceiras?,"```json
{""label"": ""product_information""}
```",
orig_other_006,orig_other_006,original,other,few_shot,product_information,True,True,,pending_manual_review,Vocês atendem lojas parceiras?,Vocês atendem lojas parceiras?,"```json
{""label"": ""product_information""}
```",
orig_other_007,orig_other_007,original,other,few_shot,account_support,True,True,,pending_manual_review,Como posso falar com a area comercial?,Como posso falar com a area comercial?,"```json
{""label"": ""account_support""}
```",
orig_other_002_paraphrase_03,orig_other_002,paraphrase,other,few_shot,account_support,True,True,True,pending_manual_review,Quero receber novidades e promocoes da loja.,Gostaria de registrar esta mensagem: quero receber novidades e promocoes da loja.,"```json
{""label"": ""account_support""}
```",
orig_other_007_paraphrase_01,orig_other_007,paraphrase,other,few_shot,account_support,True,True,False,pending_manual_review,Como posso falar com a area comercial?,Minha mensagem para a loja e a seguinte: como posso falar com a area comercial.,"```json
{""label"": ""account_support""}
```",
orig_other_006_punctuation_01,orig_other_006,punctuation,other,few_shot,product_information,True,True,False,pending_manual_review,Vocês atendem lojas parceiras?,vocês atendem lojas parceiras?,"```json
{""label"": ""product_information""}
```",
orig_other_007_punctuation_01,orig_other_007,punctuation,other,few_shot,account_support,True,True,False,pending_manual_review,Como posso falar com a area comercial?,como posso falar com a area comercial?,"```json
{""label"": ""account_support""}
```",
orig_refund_request_001,orig_refund_request_001,original,refund_request,free,,False,True,,formatting failure,Quero meu dinheiro de volta pelo produto que recebi com defeito.,Quero meu dinheiro de volta pelo produto que recebi com defeito.,"# Análise da Intenção Principal

**Intenção: RECLAMAÇÃO / SOLICITAÇÃO DE REEMBOLSO**

## Detalhes:

- **Tipo de problema:** Produto com defeito
- **Solicitação específica:**",
orig_refund_request_002,orig_refund_request_002,original,refund_request,free,,False,True,,formatting failure,Gostaria de solicitar o reembolso da minha compra.,Gostaria de solicitar o reembolso da minha compra.,"# Análise da Intenção Principal

**Intenção Principal:** Solicitar reembolso/devolução de compra

## Detalhes:
- **Tipo de solicitação:** Financeira/Administrativa
- **Ação desejada",
orig_refund_request_001_paraphrase_01,orig_refund_request_001,paraphrase,refund_request,free,,False,True,,formatting failure,Quero meu dinheiro de volta pelo produto que recebi com defeito.,"Preciso que a loja providencie a devolucao do valor, pois quero meu dinheiro de volta pelo produto que recebi com defeito.","# Análise da Intenção Principal

**Intenção Principal:** Solicitar **reembolso/devolução de valor**

## Detalhes:

- **Motivo:** Produto recebido com defeito
- **Ação desejada",
