case_id,original_input_id,transformation_type,original_text,transformed_text,expected_label,prompt_strategy,prompt_text,model_name,parameters,raw_output,parsed_label,is_valid_output,is_violation_expected_label,is_prediction_flip,execution_time,estimated_cost,timestamp,manual_review_notes
orig_refund_request_001_repeat_01,orig_refund_request_001,original,Quero meu dinheiro de volta pelo produto que recebi com defeito.,Quero meu dinheiro de volta pelo produto que recebi com defeito.,refund_request,free,"Leia a mensagem do cliente e identifique qual e a intencao principal.
Mensagem:
""Quero meu dinheiro de volta pelo produto que recebi com defeito.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","# Análise da Intenção Principal

**Intenção: RECLAMAÇÃO / SOLICITAÇÃO DE REEMBOLSO**

## Detalhes:

- **Tipo de problema:** Produto com defeito
- **Solicitação específica:**",,False,True,,1.4995275419787504,0.00037299999999999996,2026-06-08T01:53:52.514786+00:00,repetition=1
orig_refund_request_001_repeat_01,orig_refund_request_001,original,Quero meu dinheiro de volta pelo produto que recebi com defeito.,Quero meu dinheiro de volta pelo produto que recebi com defeito.,refund_request,strict,"Classifique a intencao da mensagem abaixo.
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Mensagem:
""Quero meu dinheiro de volta pelo produto que recebi com defeito.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,,1.199725957994815,0.000192,2026-06-08T01:53:53.714667+00:00,repetition=1
orig_refund_request_001_repeat_01,orig_refund_request_001,original,Quero meu dinheiro de volta pelo produto que recebi com defeito.,Quero meu dinheiro de volta pelo produto que recebi com defeito.,refund_request,few_shot,"Classifique a intencao da mensagem abaixo.
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Exemplos:
""Quero meu dinheiro de volta."" -> refund_request
""Gostaria de cancelar meu pedido."" -> cancel_order
""Minha entrega ainda nao chegou."" -> delivery_problem
""Meu pagamento foi recusado."" -> payment_issue
""Esse produto tem garantia?"" -> product_information
""Nao consigo acessar minha conta."" -> account_support
""Obrigado pelo atendimento."" -> other
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Mensagem:
""Quero meu dinheiro de volta pelo produto que recebi com defeito.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,,1.3684224169701338,0.00031,2026-06-08T01:53:55.083235+00:00,repetition=1
orig_refund_request_001_paraphrase_01_repeat_01,orig_refund_request_001,paraphrase,Quero meu dinheiro de volta pelo produto que recebi com defeito.,"Preciso que a loja providencie a devolucao do valor, pois quero meu dinheiro de volta pelo produto que recebi com defeito.",refund_request,free,"Leia a mensagem do cliente e identifique qual e a intencao principal.
Mensagem:
""Preciso que a loja providencie a devolucao do valor, pois quero meu dinheiro de volta pelo produto que recebi com defeito.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","# Análise da Intenção Principal

**Intenção Principal:** Solicitar **reembolso/devolução de valor**

## Detalhes:

- **Motivo:** Produto recebido com defeito
- **Ação desejada",,False,True,,1.277778916992247,0.000392,2026-06-08T01:53:56.361183+00:00,repetition=1
orig_refund_request_001_paraphrase_01_repeat_01,orig_refund_request_001,paraphrase,Quero meu dinheiro de volta pelo produto que recebi com defeito.,"Preciso que a loja providencie a devolucao do valor, pois quero meu dinheiro de volta pelo produto que recebi com defeito.",refund_request,strict,"Classifique a intencao da mensagem abaixo.
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Mensagem:
""Preciso que a loja providencie a devolucao do valor, pois quero meu dinheiro de volta pelo produto que recebi com defeito.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,False,0.8478777079726569,0.000211,2026-06-08T01:53:57.209187+00:00,repetition=1
orig_refund_request_001_paraphrase_01_repeat_01,orig_refund_request_001,paraphrase,Quero meu dinheiro de volta pelo produto que recebi com defeito.,"Preciso que a loja providencie a devolucao do valor, pois quero meu dinheiro de volta pelo produto que recebi com defeito.",refund_request,few_shot,"Classifique a intencao da mensagem abaixo.
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Exemplos:
""Quero meu dinheiro de volta."" -> refund_request
""Gostaria de cancelar meu pedido."" -> cancel_order
""Minha entrega ainda nao chegou."" -> delivery_problem
""Meu pagamento foi recusado."" -> payment_issue
""Esse produto tem garantia?"" -> product_information
""Nao consigo acessar minha conta."" -> account_support
""Obrigado pelo atendimento."" -> other
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Mensagem:
""Preciso que a loja providencie a devolucao do valor, pois quero meu dinheiro de volta pelo produto que recebi com defeito.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,False,0.8858672500355169,0.000329,2026-06-08T01:53:58.095215+00:00,repetition=1
orig_refund_request_001_paraphrase_02_repeat_01,orig_refund_request_001,paraphrase,Quero meu dinheiro de volta pelo produto que recebi com defeito.,Estou pedindo reembolso porque quero meu dinheiro de volta pelo produto que recebi com defeito.,refund_request,free,"Leia a mensagem do cliente e identifique qual e a intencao principal.
Mensagem:
""Estou pedindo reembolso porque quero meu dinheiro de volta pelo produto que recebi com defeito.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","# Análise da Intenção Principal

**Intenção Principal:** Solicitar reembolso

**Motivo:** Produto recebido com defeito

**Detalhes:**
- O cliente deseja recuperar o valor pago
- Justifica a",,False,True,,1.5696952920407057,0.00038199999999999996,2026-06-08T01:53:59.665068+00:00,repetition=1
orig_refund_request_001_paraphrase_02_repeat_01,orig_refund_request_001,paraphrase,Quero meu dinheiro de volta pelo produto que recebi com defeito.,Estou pedindo reembolso porque quero meu dinheiro de volta pelo produto que recebi com defeito.,refund_request,strict,"Classifique a intencao da mensagem abaixo.
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Mensagem:
""Estou pedindo reembolso porque quero meu dinheiro de volta pelo produto que recebi com defeito.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,False,0.9962277080048807,0.000201,2026-06-08T01:54:00.661434+00:00,repetition=1
orig_refund_request_001_paraphrase_02_repeat_01,orig_refund_request_001,paraphrase,Quero meu dinheiro de volta pelo produto que recebi com defeito.,Estou pedindo reembolso porque quero meu dinheiro de volta pelo produto que recebi com defeito.,refund_request,few_shot,"Classifique a intencao da mensagem abaixo.
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Exemplos:
""Quero meu dinheiro de volta."" -> refund_request
""Gostaria de cancelar meu pedido."" -> cancel_order
""Minha entrega ainda nao chegou."" -> delivery_problem
""Meu pagamento foi recusado."" -> payment_issue
""Esse produto tem garantia?"" -> product_information
""Nao consigo acessar minha conta."" -> account_support
""Obrigado pelo atendimento."" -> other
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Mensagem:
""Estou pedindo reembolso porque quero meu dinheiro de volta pelo produto que recebi com defeito.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,False,0.8610355830169283,0.000319,2026-06-08T01:54:01.522586+00:00,repetition=1
orig_refund_request_001_paraphrase_03_repeat_01,orig_refund_request_001,paraphrase,Quero meu dinheiro de volta pelo produto que recebi com defeito.,"Quero receber de volta o dinheiro pago, ja que quero meu dinheiro de volta pelo produto que recebi com defeito.",refund_request,free,"Leia a mensagem do cliente e identifique qual e a intencao principal.
Mensagem:
""Quero receber de volta o dinheiro pago, ja que quero meu dinheiro de volta pelo produto que recebi com defeito.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","# Análise da Intenção Principal

**Intenção Principal: REEMBOLSO/DEVOLUÇÃO DE DINHEIRO**

## Detalhes:

- **Motivo:** Produto recebido com defeito
- **Ação desej",,False,True,,1.441016666998621,0.000388,2026-06-08T01:54:02.963692+00:00,repetition=1
orig_refund_request_001_paraphrase_03_repeat_01,orig_refund_request_001,paraphrase,Quero meu dinheiro de volta pelo produto que recebi com defeito.,"Quero receber de volta o dinheiro pago, ja que quero meu dinheiro de volta pelo produto que recebi com defeito.",refund_request,strict,"Classifique a intencao da mensagem abaixo.
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Mensagem:
""Quero receber de volta o dinheiro pago, ja que quero meu dinheiro de volta pelo produto que recebi com defeito.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,False,0.8711680410197005,0.000207,2026-06-08T01:54:03.834920+00:00,repetition=1
orig_refund_request_001_paraphrase_03_repeat_01,orig_refund_request_001,paraphrase,Quero meu dinheiro de volta pelo produto que recebi com defeito.,"Quero receber de volta o dinheiro pago, ja que quero meu dinheiro de volta pelo produto que recebi com defeito.",refund_request,few_shot,"Classifique a intencao da mensagem abaixo.
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Exemplos:
""Quero meu dinheiro de volta."" -> refund_request
""Gostaria de cancelar meu pedido."" -> cancel_order
""Minha entrega ainda nao chegou."" -> delivery_problem
""Meu pagamento foi recusado."" -> payment_issue
""Esse produto tem garantia?"" -> product_information
""Nao consigo acessar minha conta."" -> account_support
""Obrigado pelo atendimento."" -> other
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Mensagem:
""Quero receber de volta o dinheiro pago, ja que quero meu dinheiro de volta pelo produto que recebi com defeito.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,False,1.343904833018314,0.000325,2026-06-08T01:54:05.178939+00:00,repetition=1
orig_refund_request_001_punctuation_01_repeat_01,orig_refund_request_001,punctuation,Quero meu dinheiro de volta pelo produto que recebi com defeito.,quero meu dinheiro de volta pelo produto que recebi com defeito...,refund_request,free,"Leia a mensagem do cliente e identifique qual e a intencao principal.
Mensagem:
""quero meu dinheiro de volta pelo produto que recebi com defeito...""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","# Análise da Intenção Principal

**Intenção Identificada:** **Solicitação de Reembolso/Devolução**

## Detalhes:

- **Motivo:** Produto com defeito
- **Ação desej",,False,True,,1.2662274169852026,0.000372,2026-06-08T01:54:06.445357+00:00,repetition=1
orig_refund_request_001_punctuation_01_repeat_01,orig_refund_request_001,punctuation,Quero meu dinheiro de volta pelo produto que recebi com defeito.,quero meu dinheiro de volta pelo produto que recebi com defeito...,refund_request,strict,"Classifique a intencao da mensagem abaixo.
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Mensagem:
""quero meu dinheiro de volta pelo produto que recebi com defeito...""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,False,0.8514455410186201,0.000191,2026-06-08T01:54:07.296889+00:00,repetition=1
orig_refund_request_001_punctuation_01_repeat_01,orig_refund_request_001,punctuation,Quero meu dinheiro de volta pelo produto que recebi com defeito.,quero meu dinheiro de volta pelo produto que recebi com defeito...,refund_request,few_shot,"Classifique a intencao da mensagem abaixo.
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Exemplos:
""Quero meu dinheiro de volta."" -> refund_request
""Gostaria de cancelar meu pedido."" -> cancel_order
""Minha entrega ainda nao chegou."" -> delivery_problem
""Meu pagamento foi recusado."" -> payment_issue
""Esse produto tem garantia?"" -> product_information
""Nao consigo acessar minha conta."" -> account_support
""Obrigado pelo atendimento."" -> other
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Mensagem:
""quero meu dinheiro de volta pelo produto que recebi com defeito...""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,False,1.0066933750058524,0.00030900000000000003,2026-06-08T01:54:08.303671+00:00,repetition=1
orig_refund_request_001_capitalization_01_repeat_01,orig_refund_request_001,capitalization,Quero meu dinheiro de volta pelo produto que recebi com defeito.,QUERO MEU DINHEIRO DE VOLTA PELO PRODUTO QUE RECEBI COM DEFEITO.,refund_request,free,"Leia a mensagem do cliente e identifique qual e a intencao principal.
Mensagem:
""QUERO MEU DINHEIRO DE VOLTA PELO PRODUTO QUE RECEBI COM DEFEITO.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","# Análise da Intenção Principal

**Intenção Identificada:** **REEMBOLSO / DEVOLUÇÃO**

## Detalhes:

- **Tipo de Solicitação:** Reclamação com pedido de reembolso
-",,False,True,,1.3754257499822415,0.000381,2026-06-08T01:54:09.679192+00:00,repetition=1
orig_refund_request_001_capitalization_01_repeat_01,orig_refund_request_001,capitalization,Quero meu dinheiro de volta pelo produto que recebi com defeito.,QUERO MEU DINHEIRO DE VOLTA PELO PRODUTO QUE RECEBI COM DEFEITO.,refund_request,strict,"Classifique a intencao da mensagem abaixo.
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Mensagem:
""QUERO MEU DINHEIRO DE VOLTA PELO PRODUTO QUE RECEBI COM DEFEITO.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,False,0.8888046250212938,0.0002,2026-06-08T01:54:10.568047+00:00,repetition=1
orig_refund_request_001_capitalization_01_repeat_01,orig_refund_request_001,capitalization,Quero meu dinheiro de volta pelo produto que recebi com defeito.,QUERO MEU DINHEIRO DE VOLTA PELO PRODUTO QUE RECEBI COM DEFEITO.,refund_request,few_shot,"Classifique a intencao da mensagem abaixo.
Rotulos possiveis:
refund_request, cancel_order, delivery_problem, payment_issue, product_information, account_support, other
Exemplos:
""Quero meu dinheiro de volta."" -> refund_request
""Gostaria de cancelar meu pedido."" -> cancel_order
""Minha entrega ainda nao chegou."" -> delivery_problem
""Meu pagamento foi recusado."" -> payment_issue
""Esse produto tem garantia?"" -> product_information
""Nao consigo acessar minha conta."" -> account_support
""Obrigado pelo atendimento."" -> other
Retorne apenas um JSON no seguinte formato:
{""label"": ""um_dos_rotulos""}
Mensagem:
""QUERO MEU DINHEIRO DE VOLTA PELO PRODUTO QUE RECEBI COM DEFEITO.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","```json
{""label"": ""refund_request""}
```",refund_request,True,False,False,0.810699250025209,0.00031800000000000003,2026-06-08T01:54:11.378851+00:00,repetition=1
orig_cancel_order_001_repeat_01,orig_cancel_order_001,original,Quero cancelar meu pedido.,Quero cancelar meu pedido.,cancel_order,free,"Leia a mensagem do cliente e identifique qual e a intencao principal.
Mensagem:
""Quero cancelar meu pedido.""",claude-haiku-4-5,"{""max_tokens"": 64, ""temperature"": 0}","# Análise da Intenção Principal

**Intenção Identificada:** Cancelamento de pedido

**Detalhes:**
- O cliente deseja **cancelar um pedido** que já foi realizado
- A solicitação é clara e direta
-",,False,True,,1.415867666946724,0.00036399999999999996,2026-06-08T01:54:12.794924+00:00,repetition=1
