case_id,original_input_id,transformation_type,original_text,transformed_text,expected_label,manual_review_status,manual_review_notes
orig_refund_request_001_paraphrase_01,orig_refund_request_001,paraphrase,Quero meu dinheiro de volta pelo produto que recebi com defeito.,"Como o produto que chegou veio com defeito, exijo a devolução do meu dinheiro.",refund_request,pending,
orig_refund_request_001_paraphrase_02,orig_refund_request_001,paraphrase,Quero meu dinheiro de volta pelo produto que recebi com defeito.,"Solicito o estorno do valor pago, pois recebi o item danificado.",refund_request,pending,
orig_refund_request_001_paraphrase_03,orig_refund_request_001,paraphrase,Quero meu dinheiro de volta pelo produto que recebi com defeito.,O artigo entregue está quebrado e eu gostaria de reaver o pagamento.,refund_request,pending,
orig_refund_request_001_punctuation_01,orig_refund_request_001,punctuation,Quero meu dinheiro de volta pelo produto que recebi com defeito.,quero meu dinheiro de volta pelo produto que recebi com defeito...,refund_request,pending,
orig_refund_request_001_capitalization_01,orig_refund_request_001,capitalization,Quero meu dinheiro de volta pelo produto que recebi com defeito.,QUERO MEU DINHEIRO DE VOLTA PELO PRODUTO QUE RECEBI COM DEFEITO.,refund_request,pending,
orig_refund_request_002_paraphrase_01,orig_refund_request_002,paraphrase,Gostaria de solicitar o reembolso da minha compra.,Peço que façam o reembolso do valor referente à compra que realizei.,refund_request,pending,
orig_refund_request_002_paraphrase_02,orig_refund_request_002,paraphrase,Gostaria de solicitar o reembolso da minha compra.,Quero pedir a devolução do dinheiro pago nesta transação.,refund_request,pending,
orig_refund_request_002_paraphrase_03,orig_refund_request_002,paraphrase,Gostaria de solicitar o reembolso da minha compra.,"Por favor, deem início ao processo de estorno do meu pedido.",refund_request,pending,
orig_refund_request_002_punctuation_01,orig_refund_request_002,punctuation,Gostaria de solicitar o reembolso da minha compra.,gostaria de solicitar o reembolso da minha compra...,refund_request,pending,
orig_refund_request_002_capitalization_01,orig_refund_request_002,capitalization,Gostaria de solicitar o reembolso da minha compra.,gostaria de solicitar o reembolso da minha compra.,refund_request,pending,
orig_refund_request_003_paraphrase_01,orig_refund_request_003,paraphrase,Comprei ontem e preciso receber o valor de volta.,"Fiz o pedido ontem, mas agora preciso do estorno do pagamento.",refund_request,pending,
