case_id,original_input_id,transformation_type,original_text,transformed_text,expected_label,manual_review_status,manual_review_notes
orig_refund_request_001_paraphrase_01,orig_refund_request_001,paraphrase,Quero meu dinheiro de volta pelo produto que recebi com defeito.,"Preciso que a loja providencie a devolucao do valor, pois quero meu dinheiro de volta pelo produto que recebi com defeito.",refund_request,pending,
orig_refund_request_001_paraphrase_02,orig_refund_request_001,paraphrase,Quero meu dinheiro de volta pelo produto que recebi com defeito.,Estou pedindo reembolso porque quero meu dinheiro de volta pelo produto que recebi com defeito.,refund_request,pending,
orig_refund_request_001_paraphrase_03,orig_refund_request_001,paraphrase,Quero meu dinheiro de volta pelo produto que recebi com defeito.,"Quero receber de volta o dinheiro pago, ja que quero meu dinheiro de volta pelo produto que recebi com defeito.",refund_request,pending,
orig_refund_request_001_punctuation_01,orig_refund_request_001,punctuation,Quero meu dinheiro de volta pelo produto que recebi com defeito.,quero meu dinheiro de volta pelo produto que recebi com defeito...,refund_request,pending,
orig_refund_request_001_capitalization_01,orig_refund_request_001,capitalization,Quero meu dinheiro de volta pelo produto que recebi com defeito.,QUERO MEU DINHEIRO DE VOLTA PELO PRODUTO QUE RECEBI COM DEFEITO.,refund_request,pending,
orig_refund_request_002_paraphrase_01,orig_refund_request_002,paraphrase,Gostaria de solicitar o reembolso da minha compra.,"Preciso que a loja providencie a devolucao do valor, pois gostaria de solicitar o reembolso da minha compra.",refund_request,pending,
orig_refund_request_002_paraphrase_02,orig_refund_request_002,paraphrase,Gostaria de solicitar o reembolso da minha compra.,Estou pedindo reembolso porque gostaria de solicitar o reembolso da minha compra.,refund_request,pending,
orig_refund_request_002_paraphrase_03,orig_refund_request_002,paraphrase,Gostaria de solicitar o reembolso da minha compra.,"Quero receber de volta o dinheiro pago, ja que gostaria de solicitar o reembolso da minha compra.",refund_request,pending,
orig_refund_request_002_punctuation_01,orig_refund_request_002,punctuation,Gostaria de solicitar o reembolso da minha compra.,gostaria de solicitar o reembolso da minha compra...,refund_request,pending,
orig_refund_request_002_capitalization_01,orig_refund_request_002,capitalization,Gostaria de solicitar o reembolso da minha compra.,gostaria de solicitar o reembolso da minha compra.,refund_request,pending,
orig_refund_request_003_paraphrase_01,orig_refund_request_003,paraphrase,Comprei ontem e preciso receber o valor de volta.,"Preciso que a loja providencie a devolucao do valor, pois comprei ontem e preciso receber o valor de volta.",refund_request,pending,
orig_refund_request_003_paraphrase_02,orig_refund_request_003,paraphrase,Comprei ontem e preciso receber o valor de volta.,Estou pedindo reembolso porque comprei ontem e preciso receber o valor de volta.,refund_request,pending,
orig_refund_request_003_paraphrase_03,orig_refund_request_003,paraphrase,Comprei ontem e preciso receber o valor de volta.,"Quero receber de volta o dinheiro pago, ja que comprei ontem e preciso receber o valor de volta.",refund_request,pending,
orig_refund_request_003_punctuation_01,orig_refund_request_003,punctuation,Comprei ontem e preciso receber o valor de volta.,comprei ontem e preciso receber o valor de volta...,refund_request,pending,
orig_refund_request_003_capitalization_01,orig_refund_request_003,capitalization,Comprei ontem e preciso receber o valor de volta.,COMPREI ontem E preciso RECEBER o VALOR de VOLTA.,refund_request,pending,
orig_refund_request_004_paraphrase_01,orig_refund_request_004,paraphrase,Podem devolver o dinheiro que paguei nesse pedido?,"Preciso que a loja providencie a devolucao do valor, pois podem devolver o dinheiro que paguei nesse pedido.",refund_request,pending,
orig_refund_request_004_paraphrase_02,orig_refund_request_004,paraphrase,Podem devolver o dinheiro que paguei nesse pedido?,Estou pedindo reembolso porque podem devolver o dinheiro que paguei nesse pedido.,refund_request,pending,
orig_refund_request_004_paraphrase_03,orig_refund_request_004,paraphrase,Podem devolver o dinheiro que paguei nesse pedido?,"Quero receber de volta o dinheiro pago, ja que podem devolver o dinheiro que paguei nesse pedido.",refund_request,pending,
orig_refund_request_004_punctuation_01,orig_refund_request_004,punctuation,Podem devolver o dinheiro que paguei nesse pedido?,podem devolver o dinheiro que paguei nesse pedido?,refund_request,pending,
orig_refund_request_004_capitalization_01,orig_refund_request_004,capitalization,Podem devolver o dinheiro que paguei nesse pedido?,PODEM DEVOLVER O DINHEIRO QUE PAGUEI NESSE PEDIDO?,refund_request,pending,
orig_refund_request_005_paraphrase_01,orig_refund_request_005,paraphrase,O item veio errado e quero o reembolso.,"Preciso que a loja providencie a devolucao do valor, pois o item veio errado e quero o reembolso.",refund_request,pending,
orig_refund_request_005_paraphrase_02,orig_refund_request_005,paraphrase,O item veio errado e quero o reembolso.,Estou pedindo reembolso porque o item veio errado e quero o reembolso.,refund_request,pending,
orig_refund_request_005_paraphrase_03,orig_refund_request_005,paraphrase,O item veio errado e quero o reembolso.,"Quero receber de volta o dinheiro pago, ja que o item veio errado e quero o reembolso.",refund_request,pending,
orig_refund_request_005_punctuation_01,orig_refund_request_005,punctuation,O item veio errado e quero o reembolso.,o item veio errado e quero o reembolso...,refund_request,pending,
orig_refund_request_005_capitalization_01,orig_refund_request_005,capitalization,O item veio errado e quero o reembolso.,o item veio errado e quero o reembolso.,refund_request,pending,
orig_refund_request_006_paraphrase_01,orig_refund_request_006,paraphrase,Preciso abrir uma solicitacao para receber meu pagamento de volta.,"Preciso que a loja providencie a devolucao do valor, pois preciso abrir uma solicitacao para receber meu pagamento de volta.",refund_request,pending,
orig_refund_request_006_paraphrase_02,orig_refund_request_006,paraphrase,Preciso abrir uma solicitacao para receber meu pagamento de volta.,Estou pedindo reembolso porque preciso abrir uma solicitacao para receber meu pagamento de volta.,refund_request,pending,
orig_refund_request_006_paraphrase_03,orig_refund_request_006,paraphrase,Preciso abrir uma solicitacao para receber meu pagamento de volta.,"Quero receber de volta o dinheiro pago, ja que preciso abrir uma solicitacao para receber meu pagamento de volta.",refund_request,pending,
orig_refund_request_006_punctuation_01,orig_refund_request_006,punctuation,Preciso abrir uma solicitacao para receber meu pagamento de volta.,preciso abrir uma solicitacao para receber meu pagamento de volta...,refund_request,pending,
orig_refund_request_006_capitalization_01,orig_refund_request_006,capitalization,Preciso abrir uma solicitacao para receber meu pagamento de volta.,PRECISO abrir UMA solicitacao PARA receber MEU pagamento DE volta.,refund_request,pending,
